strike_key,position_sig,entry_price,banked_pnl,trigger_type,lowest_low,highest_high,sl_safe
24100_straddle,0,0.0,3217.5,TARGET,516.25,532.75,True
24000_straddle,0,0.0,3802.5,TARGET,485.75,498.25,True
